"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"O'Callaghan T.","O'Callaghan, Terry (16679732500)","16679732500","Reputation risk and globalisation: Exploring the idea of a self-regulating corporation","2016","Reputation Risk and Globalisation: Exploring the Idea of a Self-Regulating Corporation","","","","1","226","225","0","10.4337/9781786431745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072745312&doi=10.4337%2f9781786431745&partnerID=40&md5=df01714c1edc1ce3f871db56856c54a3","Book","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85072745312"
"Govindan K.","Govindan, Kannan (54986334000)","54986334000","How digitalization transforms the traditional circular economy to a smart circular economy for achieving SDGs and net zero","2023","Transportation Research Part E: Logistics and Transportation Review","177","","103147","","","","1","10.1016/j.tre.2023.103147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163200169&doi=10.1016%2fj.tre.2023.103147&partnerID=40&md5=c2f3e37a31b6b0f449c743f9d1cbf18a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163200169"
"Findler F.","Findler, Florian (57195902487)","57195902487","Toward a sustainability assessment framework of research impacts: Contributions of a business school","2021","Sustainable Development","29","6","","1190","1203","13","5","10.1002/sd.2218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107518354&doi=10.1002%2fsd.2218&partnerID=40&md5=c5ad4ab50bc0a71a395cec3b519ea1e8","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85107518354"
"Sim L.-A.","Sim, Lee-Anne (57215822256)","57215822256","Influencing the social impact of financial systems: Alternative strategies","2020","International Affairs","96","2","","501","515","14","0","10.1093/ia/iiz256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081958790&doi=10.1093%2fia%2fiiz256&partnerID=40&md5=b2c80aba52122700edb3706b18ac6fe3","Article","Final","","Scopus","2-s2.0-85081958790"
"Alam M.; Lin F.-R.","Alam, Mehtab (57213805389); Lin, Fu-Ren (14829178300)","57213805389; 14829178300","Internalizing Sustainability into Research Practices of Higher Education Institutions: Case of a Research University in Taiwan","2022","Sustainability (Switzerland)","14","15","9793","","","","2","10.3390/su14159793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137024281&doi=10.3390%2fsu14159793&partnerID=40&md5=4f7a0826797daaf4948cdb3f26fdc4c4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137024281"
"Thomassen A.O.; Jensen J.","Thomassen, Anja Overgaard (56998466900); Jensen, Julie (56893045100)","56998466900; 56893045100","Processual perspectives on the co-production turn in public sector organizations","2020","Processual Perspectives on the Co-Production Turn in Public Sector Organizations","","","","1","340","339","0","10.4018/978-1-7998-4975-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136370397&doi=10.4018%2f978-1-7998-4975-9&partnerID=40&md5=bc789862e7c46638d6159b892f11c7eb","Book","Final","","Scopus","2-s2.0-85136370397"
"Burgess R.","Burgess, Richard (36599936000)","36599936000","Nigerian pentecostalism and development: Spirit, power, and transformation","2020","Nigerian Pentecostalism and Development: Spirit, Power, and Transformation","","","","1","249","248","3","10.4324/9781315167299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108758511&doi=10.4324%2f9781315167299&partnerID=40&md5=f9e9937383459b4ca3b0be4dd4ff4915","Book","Final","","Scopus","2-s2.0-85108758511"
"Von Jacobi N.","Von Jacobi, Nadia (56441553200)","56441553200","Institutions as Meso-factors of Development: A human development perspective","2018","Journal of Contextual Economics-Schmollers Jahrbuch","138","1","","53","88","35","2","10.3790/schm.138.1.53","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072243462&doi=10.3790%2fschm.138.1.53&partnerID=40&md5=f1bdc4b9ff42fd4e4fb965dce11f138d","Article","Final","","Scopus","2-s2.0-85072243462"
"Shah S.H.A.; Al-Ghazali B.M.; Bhatti S.; Aman N.; Fahlevi M.; Aljuaid M.; Hasan F.","Shah, Syed Haider Ali (57191737168); Al-Ghazali, Basheer M. (55250604400); Bhatti, Sabeen (57203870960); Aman, Nida (57759121900); Fahlevi, Mochammed (57211888309); Aljuaid, Mohammed (57164048100); Hasan, Fakhrul (57533601600)","57191737168; 55250604400; 57203870960; 57759121900; 57211888309; 57164048100; 57533601600","The Impact of Perceived CSR on Employees’ Pro-Environmental Behaviors: The Mediating Effects of Environmental Consciousness and Environmental Commitment","2023","Sustainability (Switzerland)","15","5","4350","","","","3","10.3390/su15054350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149941221&doi=10.3390%2fsu15054350&partnerID=40&md5=549c4f1488c6a078f229c89430f51e43","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149941221"
"Belay H.A.; Hailu F.K.; Sinshaw G.T.","Belay, Habtie Alemnew (58479679200); Hailu, Fentaye Kassa (58479679300); Sinshaw, Gedif Tessema (57224978867)","58479679200; 58479679300; 57224978867","Managerial values and corporate social responsibility practices: multilevel and multistakeholder analysis","2023","Social Responsibility Journal","","","","","","","0","10.1108/SRJ-01-2023-0012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164369263&doi=10.1108%2fSRJ-01-2023-0012&partnerID=40&md5=f43ed04fdc6f45c1833dce9d5b4562a2","Article","Article in press","","Scopus","2-s2.0-85164369263"
